Lat,Long,PresAbs,Type
13.5172,2.6455,1,Denit
20.2744,85.8436,1,Denit
22.64,87.3386,1,Denit
10.8092,78.6933,1,Denit
15.4675,73.9372,1,Denit
23.0933,58.1509,1,Denit
22.5667,112.8333,1,Denit
19.54,-155.3,1,Denit
-10.5,-62.5,1,Denit
7.8492,98.38592,1,Denit
-4.41676,39.52668,1,Denit
4.83783,100.617,1,Denit
-6.15247,39.20446,1,Denit
16.24882,-61.18471,1,Denit
15.67611,73.80139,1,Denit
21.5,89,1,Denit
10.37333,99.22,1,Denit
-15.030376,-72.297154,0,Global
-16.335382,-70.622338,0,Global
-15.958019,-70.286379,0,Global
-16.376873,-70.447466,0,Global
-15.70282,-72.169975,0,Global
-15.073344,-70.07819,0,Global
-17.15474,-70.369321,0,Global
-15.876434,-71.105024,0,Global
-14.976866,-70.175567,0,Global
-16.141844,-70.422335,0,Global
-14.913174,-70.998108,0,Global
-16.142016,-71.42749,0,Global
-16.938035,-70.650007,0,Global
-16.592849,-70.774086,0,Global
-14.998025,-72.465468,0,Global
-15.719903,-72.481725,0,Global
-15.706872,-70.786515,0,Global
-15.241703,-72.178237,0,Global
-14.920944,-70.877314,0,Global
-16.478735,-70.282009,0,Global
-15.017962,-73.401234,0,Global
-15.993295,-71.274733,0,Global
-14.989626,-73.300493,0,Global
-16.079997,-70.680412,0,Global
-15.079835,-70.859163,0,Global
-15.409652,-71.797132,0,Global
-15.660169,-70.27864,0,Global
-15.249935,-71.328733,0,Global
-15.37861,-70.440931,0,Global
-15.044583,-73.020974,0,Global
-16.06056,-70.889055,0,Global
-14.882832,-73.207482,0,Global
-15.23003,-72.329594,0,Global
-15.149093,-72.580196,0,Global
-15.035393,-71.444336,0,Global
-15.207867,-71.639711,0,Global
-15.133355,-71.219218,0,Global
-16.002145,-72.025349,0,Global
-15.118757,-72.324655,0,Global
-15.900198,-70.843261,0,Global
-15.951698,-70.166274,0,Global
-14.973926,-73.61257,0,Global
-16.15029,-71.728062,0,Global
-15.392284,-73.642902,0,Global
-16.485041,-70.500965,0,Global
-15.599132,-70.211655,0,Global
-16.003712,-71.781822,0,Global
-15.558073,-73.662095,0,Global
-15.244655,-73.324354,0,Global
-17.131482,-70.278607,0,Global
-15.205664,-73.006318,0,Global
-16.673002,-70.231021,0,Global
-15.664762,-71.049434,0,Global
-15.841077,-71.012322,0,Global
-15.278029,-70.415161,0,Global
-15.222095,-73.142105,0,Global
-15.677148,-70.572071,0,Global
-15.139285,-73.736524,0,Global
-15.291293,-73.417202,0,Global
-16.191633,-70.842172,0,Global
-15.602958,-71.273611,0,Global
-15.76245,-71.498372,0,Global
-15.382347,-73.390238,0,Global
-16.335796,-70.955612,0,Global
-15.58569,-71.137441,0,Global
-15.532894,-70.93038,0,Global
-16.657367,-70.709296,0,Global
-15.718482,-70.451613,0,Global
-14.89366,-73.001342,0,Global
-16.179882,-70.944706,0,Global
-15.504576,-70.351497,0,Global
-15.855671,-72.048128,0,Global
-16.588811,-70.121392,0,Global
-15.625203,-71.529469,0,Global
-15.581799,-73.368746,0,Global
-15.798383,-70.786233,0,Global
-15.647508,-72.299125,0,Global
-15.222574,-73.861988,0,Global
-17.098289,-70.662365,0,Global
-14.935171,-70.361597,0,Global
-15.422984,-71.166169,0,Global
-16.761036,-70.291117,0,Global
-16.031232,-71.570342,0,Global
-16.05065,-70.516829,0,Global
-15.447503,-72.003264,0,Global
-16.246987,-70.192071,0,Global
-15.2021,-72.733888,0,Global
-15.515483,-70.123552,0,Global
-15.731526,-72.684901,0,Global
-16.149857,-71.050766,0,Global
-15.095269,-72.190064,0,Global
-14.892141,-74.517882,0,Global
-15.427513,-71.500365,0,Global
-15.334494,-73.929522,0,Global
-14.882144,-72.878875,0,Global
-16.354181,-70.090087,0,Global
-15.173737,-72.420627,0,Global
-15.502432,-72.947886,0,Global
-15.014003,-72.650179,0,Global
-14.942435,-71.750946,0,Global
-16.754298,-70.065727,0,Global
-15.390178,-73.758805,0,Global
-15.85038,-71.241386,0,Global
-14.895302,-74.330496,0,Global
-15.984777,-71.142121,0,Global
-15.765269,-71.612457,0,Global
-17.295967,-70.27737,0,Global
-16.315209,-70.841882,0,Global
-15.433742,-72.462917,0,Global
-15.257504,-70.55357,0,Global
-15.635879,-71.408189,0,Global
-15.20557,-74.066668,0,Global
-16.893797,-70.221376,0,Global
-15.637129,-70.724918,0,Global
-15.157272,-74.25748,0,Global
-16.396685,-71.386383,0,Global
-16.13421,-71.635441,0,Global
-15.489067,-72.270367,0,Global
-16.590641,-71.284681,0,Global
-15.098668,-73.515638,0,Global
-15.490776,-71.631097,0,Global
-15.341679,-73.152745,0,Global
-15.366159,-70.911101,0,Global
-15.080867,-73.996802,0,Global
-15.582662,-70.611068,0,Global
-15.201986,-71.775464,0,Global
-15.030478,-71.929962,0,Global
-15.590898,-71.960125,0,Global
-14.905853,-74.039689,0,Global
-15.209141,-72.912344,0,Global
-15.580452,-72.227086,0,Global
-15.912559,-71.959817,0,Global
-15.774471,-70.073134,0,Global
-15.826245,-72.506735,0,Global
-16.001557,-71.896963,0,Global
-15.223941,-71.435267,0,Global
-15.830339,-70.613939,0,Global
-15.733441,-71.158926,0,Global
-15.461359,-73.58303,0,Global
-14.892511,-74.197612,0,Global
-15.536272,-71.399447,0,Global
-15.132971,-71.492767,0,Global
-14.915508,-72.587143,0,Global
-15.431885,-70.839577,0,Global
-15.057897,-70.444761,0,Global
-15.633247,-64.296114,0,Global
-21.478119,-65.208687,0,Global
-15.914225,-64.161805,0,Global
-14.923361,-67.417928,0,Global
-23.25883,-65.028345,0,Global
-16.857556,-69.623527,0,Global
-18.50045,-65.129262,0,Global
-15.759698,-66.21959,0,Global
-15.657662,-64.80353,0,Global
-20.723435,-66.266331,0,Global
-19.350739,-65.865675,0,Global
-19.560291,-68.812162,0,Global
-15.911258,-66.323436,0,Global
-15.273847,-66.516346,0,Global
-17.491691,-67.863421,0,Global
-17.57209,-64.622234,0,Global
-15.428444,-68.700231,0,Global
-19.63045,-65.390296,0,Global
-15.392943,-65.275342,0,Global
-21.296588,-67.640356,0,Global
-15.653595,-64.481066,0,Global
-18.11675,-64.937658,0,Global
-16.727996,-69.245623,0,Global
-19.378849,-64.701815,0,Global
-18.230746,-66.586102,0,Global
